iter	Logloss
0	0.6362460828
1	0.5926340795
2	0.5594810576
3	0.5346735053
4	0.515007103
5	0.4992111919
6	0.4875738746
7	0.4776886605
8	0.470109731
9	0.4639817987
10	0.4589691368
11	0.4546146007
12	0.4514570113
13	0.4486940292
14	0.4461919243
15	0.4442840262
16	0.4423753966
17	0.4409116805
18	0.4391643315
19	0.437923702
20	0.4369149362
21	0.4360234838
22	0.4350872923
23	0.434259637
24	0.433349777
25	0.432334022
26	0.4316151062
27	0.4307939525
28	0.430161305
29	0.4295726246
30	0.4289506641
31	0.428235568
32	0.4274316843
33	0.4266710769
34	0.4261666331
35	0.4253094768
36	0.4244948247
37	0.4239213012
38	0.4234974774
39	0.4229890513
40	0.4222328731
41	0.4212717723
42	0.4206805725
43	0.4200412609
44	0.4195641644
45	0.4189704453
46	0.4185899791
47	0.4181014235
48	0.4177622019
49	0.4172059077
50	0.4165684246
51	0.4160264746
52	0.4154933017
53	0.4150516391
54	0.4145180192
55	0.4138848841
56	0.4132758049
57	0.4127568543
58	0.4122429831
59	0.4118356571
60	0.4112674568
61	0.41068284
62	0.4104211501
63	0.4099989923
64	0.4093586241
65	0.4086256485
66	0.4081136059
67	0.407562513
68	0.407268315
69	0.4068380302
70	0.4064748745
71	0.4059161422
72	0.4053703725
73	0.404686159
74	0.4040913834
75	0.4034465047
76	0.403112078
77	0.4025016173
78	0.4020635711
79	0.4015426701
80	0.4011027141
81	0.4005888429
82	0.4001882623
83	0.3996234754
84	0.399082785
85	0.3987651
86	0.3982479374
87	0.3979638169
88	0.3976035869
89	0.3971361616
90	0.3964649514
91	0.3959498206
92	0.3956383121
93	0.3951513819
94	0.3945384018
95	0.3940093737
96	0.3933851376
97	0.3931130858
98	0.3927514336
99	0.3923131843
100	0.391542987
101	0.3912364766
102	0.3908832359
103	0.3903022356
104	0.3898433436
105	0.3894269154
106	0.3890079271
107	0.3887372162
108	0.3882115608
109	0.3875692422
110	0.3871144544
111	0.3866642584
112	0.3860401848
113	0.3855105066
114	0.3847855768
115	0.3843878
116	0.3840319587
117	0.3836970037
118	0.3831567197
119	0.382499041
120	0.3819993921
121	0.3814767031
122	0.3810570647
123	0.3805112137
124	0.3800044536
125	0.3795840837
126	0.3791354318
127	0.3787000676
128	0.3780540105
129	0.3775273799
130	0.3771954726
131	0.3767909504
132	0.3763870784
133	0.3758241606
134	0.3751761937
135	0.3745837343
136	0.3742025366
137	0.3737822074
138	0.3733810172
139	0.3729725941
140	0.3724873706
141	0.3719513533
142	0.3715315523
143	0.3710775772
144	0.37069321
145	0.370056499
146	0.3694305563
147	0.3691029156
148	0.3687266348
149	0.3681339316
150	0.3675551662
151	0.3671102527
152	0.3666343753
153	0.3661512649
154	0.3658126528
155	0.3654763569
156	0.364848098
157	0.3644164722
158	0.3640751781
159	0.3637052364
160	0.363313433
161	0.3629616958
162	0.3625995966
163	0.3621538704
164	0.3617365482
165	0.3609004408
166	0.36036548
167	0.3598784686
168	0.3594627311
169	0.3590736096
170	0.3586779459
171	0.3582075949
172	0.3579224585
173	0.3573226035
174	0.3570540869
175	0.3563330175
176	0.3557273516
177	0.3553431876
178	0.3549000215
179	0.3542568494
180	0.3539040557
181	0.3535874678
182	0.3531083396
183	0.352826129
184	0.3523350541
185	0.3519085483
186	0.351358837
187	0.3509302182
188	0.3503643747
