iter	Passed	Remaining
0	28	17853
1	57	17777
2	84	17486
3	113	17574
4	141	17495
5	171	17664
6	200	17690
7	229	17691
8	257	17612
9	288	17770
10	317	17720
11	347	17739
12	375	17687
13	404	17661
14	433	17638
15	462	17595
16	491	17580
17	520	17554
18	551	17582
19	580	17557
20	609	17519
21	636	17455
22	665	17430
23	694	17397
24	724	17383
25	753	17360
26	781	17302
27	810	17284
28	838	17241
29	867	17213
30	897	17201
31	926	17173
32	957	17169
33	987	17159
34	1015	17111
35	1044	17089
36	1074	17071
37	1102	17032
38	1130	16986
39	1159	16958
40	1189	16943
41	1220	16939
42	1250	16922
43	1278	16886
44	1307	16855
45	1336	16823
46	1364	16784
47	1393	16752
48	1421	16706
49	1450	16685
50	1480	16657
51	1509	16635
52	1540	16620
53	1568	16586
54	1597	16552
55	1625	16516
56	1654	16481
57	1682	16452
58	1711	16422
59	1740	16388
60	1770	16365
61	1799	16340
62	1827	16298
63	1855	16268
64	1885	16244
65	1916	16228
66	1945	16200
67	1974	16170
68	2001	16126
69	2029	16092
70	2058	16058
71	2086	16028
72	2116	16001
73	2146	15985
74	2176	15957
75	2205	15930
76	2233	15898
77	2263	15873
78	2292	15843
79	2322	15820
80	2350	15788
81	2379	15755
82	2407	15723
83	2437	15698
84	2466	15670
85	2494	15636
86	2524	15611
87	2552	15575
88	2580	15543
89	2609	15512
90	2639	15489
91	2669	15463
92	2696	15426
93	2725	15398
94	2756	15375
95	2785	15350
96	2815	15325
97	2843	15290
98	2871	15254
99	2900	15225
100	2930	15201
101	2958	15169
102	2987	15140
103	3016	15113
104	3045	15083
105	3074	15053
106	3103	15024
107	3131	14991
108	3160	14963
109	3191	14941
110	3220	14913
111	3249	14885
112	3280	14861
113	3309	14834
114	3339	14810
115	3368	14780
116	3397	14753
117	3426	14723
118	3456	14696
119	3486	14673
120	3516	14646
121	3546	14621
122	3575	14592
123	3604	14564
124	3634	14537
125	3663	14508
126	3692	14478
127	3721	14451
128	3753	14430
129	3781	14399
130	3810	14367
131	3838	14336
132	3867	14306
133	3897	14280
134	3926	14252
135	3956	14224
136	3985	14195
137	4013	14165
138	4042	14134
139	4071	14104
140	4101	14078
141	4130	14050
142	4159	14019
143	4188	13991
144	4217	13960
145	4247	13934
146	4277	13909
147	4306	13880
148	4336	13852
149	4366	13826
150	4396	13801
151	4425	13772
152	4455	13743
153	4484	13714
154	4512	13684
155	4541	13653
156	4571	13627
157	4600	13597
158	4628	13566
159	4657	13536
160	4686	13506
161	4715	13476
162	4744	13446
163	4773	13417
164	4802	13387
165	4832	13363
166	4862	13336
167	4892	13309
168	4923	13283
169	4953	13258
170	4984	13233
171	5015	13209
172	5047	13188
173	5078	13163
174	5107	13132
175	5138	13107
176	5168	13081
177	5197	13052
178	5226	13021
179	5256	12995
180	5285	12965
181	5314	12935
182	5343	12906
183	5372	12875
184	5401	12846
185	5430	12817
186	5460	12790
187	5489	12761
188	5519	12733
189	5549	12704
190	5578	12675
191	5605	12642
192	5636	12615
193	5665	12586
